ID,PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8,PS9,SMUT1,SMUT2,SMUT3,SMUT4,SMUT5,SMUT6,SMUT7,SMUT8,SMUT9,OSC1,OSC2,OSC3,OSC4,OSC5,OSC6,VONP 1,VONP2,VONP3,VONP4,VONP5,VONP6,VONP7,VONP8,VOFP1,VOFP2,VOFP3,VOFP4,VOFP5,VOFP6,VOFP7,PLT1,PLT2,PLT3,PLT4,PLT5,PLT6,PLT7,Gender,Age,MS,RL,PI,Education Level,ED,COO
40,4,4,4,4,4,4,4,4,4,3,4,2,1,2,3,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,2,3,2,2,1,2,3,4,2,1,2,1,1,7,5,1,3
41,5,5,5,5,5,5,5,5,5,4,5,5,5,3,3,5,4,5,3,2,2,3,4,3,3,5,5,2,5,5,5,5,5,5,5,5,5,2,5,4,3,2,2,2,3,1,1,3,3,1,1,4,1,1
42,1,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,3,1,2,1,2,1,2,1,2,5,2,2,1,1,1,4,1,1,1,1,1,1,1,2,2,2,3,2,3,3,1,1,1,1,2,5,1,3
43,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,3,3,4,4,4,4,4,4,2,4,4,4,4,2,5,2,2,4,3,3,4,1,1,1,1,4,1,2,4,4,1,1,6,1,2
44,5,3,3,5,5,5,3,1,1,2,4,2,2,2,4,4,4,4,2,2,4,2,2,2,5,5,5,5,3,4,2,5,2,4,2,2,4,2,2,2,2,4,4,4,4,5,1,1,1,1,2,4,5,3
45,5,5,5,5,5,4,4,2,2,3,1,2,3,2,3,2,3,3,2,3,3,3,2,2,2,3,3,3,2,2,2,2,3,2,3,2,3,3,2,2,3,3,3,2,3,3,2,1,1,1,7,5,5,3
46,5,5,5,5,5,5,5,5,5,5,2,2,1,4,4,3,5,5,2,2,1,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,3,5,5,1,2,3,1,2,5,1,3
47,5,2,4,2,4,4,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,2,2,2,1,3,1,2,6,8,3
48,5,5,5,5,5,5,5,4,4,2,2,2,2,2,3,3,3,3,1,1,2,2,2,2,3,5,4,5,5,5,5,5,3,5,5,5,5,5,5,2,2,4,4,4,4,5,1,1,1,1,7,5,8,3
49,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,1,1,1,7,4,5,3
50,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,5,2,1,1,1,1,1,1,5,5,5,5,5,5,2,5,5,5,5,2,5,5,5,1,3,3,3,2,4,3,1,1,1,1,2,4,5,3
51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,2,3,1,7,5,1,3
52,2,4,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,2,3,2,3,4,3,4,2,4,4,2,2,1,2,2,2,2,3,2,1,1,1,1,5,4,10,3
53,3,2,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,7,5,8,3
54,3,2,4,4,4,5,5,3,2,3,1,1,1,1,1,1,3,2,1,2,1,1,2,2,4,4,4,5,5,5,5,5,4,4,4,4,4,2,4,2,4,3,2,3,3,5,2,1,1,1,2,5,5,3
55,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,3,5,1,1,1,1,1,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,1,1,1,1,7,5,1,3
56,4,5,4,4,4,4,4,4,4,4,3,2,2,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,5,3,4,2,4,2,4,3,3,3,5,4,3,4,5,3,4,1,2,3,1,2,5,1,3
